age,monthly_budget_usd,collection_size,monthly_purchases,resale_interest,social_media_engagement,blind_box_risk_tolerance,favorite_series,collector_type,region,will_buy_next_release
19,63.58,21,2,6,9,3,Skullpanda,casual,Oceania,1
46,87.2,17,3,9,7,4,Skullpanda,trend-chaser,Southeast Asia,1
42,82.41,22,5,9,6,5,Labubu,casual,East Asia,1
33,109.62,24,3,8,9,3,Labubu,trend-chaser,Europe,1
33,56.22,24,2,4,1,5,Labubu,display-focused,North America,1
50,72.78,27,3,5,2,6,Crybaby,casual,North America,0
19,102.51,22,5,10,8,9,Labubu,reseller,North America,1
43,46.05,15,2,2,8,8,Dimoo,casual,East Asia,1
24,114.74,21,2,7,0,8,Molly,trend-chaser,Southeast Asia,1
19,110.27,24,0,8,2,5,Skullpanda,reseller,North America,1
37,98.08,27,2,5,2,7,Hirono,trend-chaser,North America,1
55,109.1,34,1,9,0,1,Crybaby,trend-chaser,North America,0
45,70.72,16,2,4,7,1,Molly,casual,Europe,0
46,151.24,25,3,9,0,10,Crybaby,display-focused,North America,1
44,142.48,20,2,7,9,6,Molly,completionist,Europe,1
47,98.92,20,3,0,6,1,Hirono,display-focused,North America,0
36,90.27,28,3,9,8,4,Labubu,completionist,North America,1
21,118.66,22,6,7,5,10,Skullpanda,casual,East Asia,1
49,63.92,26,3,2,10,0,Dimoo,completionist,Oceania,0
34,110.35,26,2,7,2,4,Hirono,display-focused,North America,0
36,98.43,28,3,5,6,9,Hirono,casual,North America,1
30,73.9,20,2,10,0,10,Molly,trend-chaser,North America,1
23,99.94,18,4,3,9,4,Hirono,trend-chaser,Southeast Asia,1
53,149.24,20,1,2,6,10,Molly,display-focused,Europe,1
47,43.81,8,2,0,1,7,Labubu,casual,East Asia,0
41,56.69,14,2,8,8,4,Labubu,reseller,East Asia,0
32,77.0,22,3,10,10,8,Labubu,casual,Southeast Asia,1
48,109.75,19,3,7,0,8,Labubu,completionist,North America,1
37,97.5,9,1,4,9,3,Dimoo,reseller,North America,1
33,109.6,26,2,9,8,0,Labubu,casual,Europe,1
34,74.22,22,4,2,3,8,Skullpanda,casual,Europe,1
25,87.25,26,1,7,6,0,Labubu,casual,North America,0
19,128.99,19,3,6,8,8,Dimoo,display-focused,Southeast Asia,1
38,93.24,26,1,9,5,3,Molly,completionist,East Asia,1
51,104.17,19,2,10,7,7,Molly,casual,Southeast Asia,1
18,85.95,15,5,3,0,6,Dimoo,trend-chaser,Oceania,0
50,68.58,22,2,1,10,0,Crybaby,reseller,Europe,1
49,112.21,30,4,1,10,0,Crybaby,casual,Southeast Asia,0
27,125.58,27,3,8,2,6,Molly,completionist,East Asia,1
41,89.58,31,1,3,5,5,Crybaby,display-focused,Europe,1
22,60.59,30,1,1,2,0,Dimoo,display-focused,East Asia,1
46,106.52,17,2,8,4,10,Crybaby,completionist,Oceania,1
44,102.26,25,4,7,3,2,Labubu,casual,Southeast Asia,1
30,79.21,13,1,1,9,9,Labubu,casual,East Asia,1
18,211.24,15,2,7,7,1,Labubu,casual,North America,1
54,150.85,28,2,7,9,2,Hirono,casual,Southeast Asia,0
33,101.21,19,2,10,8,5,Labubu,completionist,Europe,1
51,102.55,26,1,10,7,5,Labubu,trend-chaser,East Asia,1
43,149.87,26,2,10,1,6,Skullpanda,completionist,East Asia,1
47,133.22,20,2,9,9,1,Crybaby,trend-chaser,Europe,1
46,83.94,22,2,8,8,2,Skullpanda,completionist,North America,1
23,102.96,28,5,7,1,2,Dimoo,casual,East Asia,1
30,83.37,21,2,5,0,4,Labubu,trend-chaser,North America,1
34,54.55,26,10,8,8,10,Crybaby,casual,North America,1
35,44.92,21,2,10,4,5,Labubu,casual,North America,1
17,94.13,21,3,1,3,10,Molly,trend-chaser,East Asia,1
37,148.86,37,1,1,4,2,Skullpanda,completionist,North America,1
22,80.92,10,2,5,9,2,Labubu,trend-chaser,Europe,0
45,88.16,35,3,3,4,1,Dimoo,casual,Southeast Asia,1
43,72.9,17,3,5,4,2,Dimoo,reseller,Europe,0
52,45.81,16,1,3,4,3,Labubu,casual,Southeast Asia,0
45,76.91,28,6,8,0,4,Labubu,display-focused,Europe,1
30,86.29,20,0,9,0,7,Labubu,trend-chaser,North America,1
54,92.41,20,3,3,4,4,Labubu,display-focused,East Asia,1
32,137.93,24,2,8,0,7,Crybaby,completionist,Europe,1
29,104.56,26,4,1,8,0,Dimoo,trend-chaser,Oceania,1
52,138.73,25,2,8,4,10,Labubu,trend-chaser,North America,1
30,109.51,26,1,7,5,1,Labubu,casual,Southeast Asia,0
19,105.58,14,2,7,3,0,Hirono,casual,Europe,1
34,113.22,30,3,5,8,4,Hirono,trend-chaser,Southeast Asia,1
47,62.23,24,6,1,4,7,Crybaby,completionist,North America,1
23,119.4,15,4,9,0,2,Labubu,display-focused,East Asia,1
34,77.07,21,2,1,5,1,Skullpanda,casual,North America,0
21,78.05,14,2,5,1,9,Labubu,casual,Southeast Asia,0
43,88.76,27,3,1,6,9,Hirono,trend-chaser,North America,1
35,74.31,15,3,9,6,8,Molly,display-focused,Europe,1
29,57.45,30,2,6,5,2,Dimoo,reseller,East Asia,1
25,86.11,32,2,5,4,5,Labubu,casual,Europe,1
38,78.2,17,6,3,6,7,Hirono,casual,Southeast Asia,0
42,77.12,19,4,8,7,4,Labubu,completionist,East Asia,1
53,82.66,28,4,2,9,1,Hirono,trend-chaser,North America,1
33,36.89,34,1,7,10,9,Labubu,casual,Southeast Asia,1
22,77.34,12,2,10,0,10,Hirono,display-focused,Europe,0
49,146.0,23,7,2,7,1,Labubu,completionist,East Asia,1
41,141.11,22,2,7,0,7,Dimoo,casual,North America,1
44,87.29,25,3,3,4,9,Hirono,display-focused,Europe,0
19,86.13,21,2,10,8,5,Molly,completionist,Southeast Asia,1
28,33.99,16,5,9,5,0,Molly,casual,Southeast Asia,1
46,68.99,20,4,3,8,7,Molly,completionist,Southeast Asia,1
49,112.76,23,1,2,10,10,Molly,casual,East Asia,1
33,73.62,20,0,0,10,2,Dimoo,completionist,North America,0
48,128.26,25,6,7,7,1,Labubu,reseller,Europe,1
49,125.05,14,2,10,7,2,Labubu,trend-chaser,North America,0
31,68.48,20,1,1,8,8,Molly,completionist,East Asia,1
51,89.89,24,1,8,2,6,Molly,completionist,North America,0
27,150.9,19,3,8,3,0,Labubu,display-focused,Oceania,1
25,48.2,25,6,5,3,6,Dimoo,display-focused,North America,1
43,74.25,23,1,2,8,8,Labubu,casual,North America,1
41,46.49,16,1,7,3,2,Crybaby,completionist,Southeast Asia,0
21,60.55,21,0,6,1,6,Dimoo,casual,North America,0
49,169.62,17,5,8,8,2,Molly,display-focused,North America,1
23,74.24,31,2,6,8,0,Hirono,display-focused,East Asia,1
48,39.66,20,5,0,6,4,Dimoo,completionist,Oceania,1
16,57.23,11,0,2,9,8,Skullpanda,display-focused,North America,1
47,44.78,19,0,4,8,7,Molly,display-focused,Europe,1
47,91.26,31,2,5,9,1,Dimoo,completionist,North America,0
47,101.46,16,0,3,2,2,Labubu,trend-chaser,East Asia,1
42,120.06,22,5,9,1,5,Skullpanda,completionist,North America,1
34,110.3,22,4,3,3,3,Labubu,casual,East Asia,1
44,49.02,33,4,7,9,3,Skullpanda,trend-chaser,Europe,1
27,99.41,30,1,3,10,4,Dimoo,casual,Southeast Asia,1
47,81.26,25,3,10,1,8,Labubu,casual,East Asia,1
38,127.17,24,2,10,9,6,Labubu,casual,East Asia,1
34,115.38,30,1,8,5,9,Hirono,display-focused,Europe,1
36,179.26,31,3,8,8,1,Molly,completionist,North America,1
38,58.94,36,3,7,7,5,Labubu,completionist,North America,1
17,55.83,18,1,6,0,6,Molly,reseller,Europe,1
21,70.62,23,1,6,5,8,Crybaby,completionist,North America,0
25,82.53,14,4,0,0,5,Dimoo,casual,North America,1
20,65.38,30,0,10,3,10,Skullpanda,completionist,Europe,1
33,60.09,39,5,10,8,9,Hirono,reseller,North America,1
42,96.79,19,2,5,7,7,Dimoo,display-focused,North America,0
42,70.54,28,3,9,7,4,Hirono,display-focused,East Asia,1
34,64.33,30,4,4,7,3,Dimoo,completionist,Southeast Asia,0
50,48.99,32,3,1,0,5,Hirono,completionist,North America,0
38,34.86,25,2,9,6,5,Dimoo,display-focused,Southeast Asia,1
19,143.01,16,6,5,5,0,Molly,trend-chaser,North America,1
46,141.22,24,2,10,5,2,Labubu,casual,Oceania,1
38,116.81,22,3,2,2,9,Labubu,casual,Europe,1
41,105.76,34,6,5,7,5,Skullpanda,reseller,Europe,1
38,68.05,21,1,7,6,10,Crybaby,trend-chaser,East Asia,1
38,107.5,18,4,1,4,2,Dimoo,completionist,Europe,1
19,54.37,22,2,10,0,10,Hirono,display-focused,Europe,1
38,89.03,22,3,6,0,8,Dimoo,trend-chaser,Europe,1
47,62.28,18,2,1,3,3,Crybaby,display-focused,Oceania,0
28,107.68,24,2,8,5,6,Dimoo,display-focused,Southeast Asia,1
40,155.24,20,1,9,10,10,Molly,completionist,Europe,1
17,57.15,29,1,4,7,6,Skullpanda,display-focused,Southeast Asia,1
29,69.34,29,3,6,5,10,Molly,completionist,North America,1
33,88.37,24,1,8,3,1,Labubu,trend-chaser,East Asia,1
55,41.24,21,3,1,1,1,Labubu,casual,Europe,0
24,45.52,36,4,5,1,0,Molly,casual,North America,0
27,153.3,26,5,6,0,3,Labubu,display-focused,Southeast Asia,1
32,96.96,20,2,3,10,8,Labubu,display-focused,Southeast Asia,1
55,66.62,22,5,3,0,10,Crybaby,completionist,Southeast Asia,0
50,84.68,17,3,6,9,5,Molly,trend-chaser,East Asia,1
17,70.73,21,4,8,6,4,Hirono,completionist,Europe,1
25,89.41,13,3,4,6,10,Labubu,trend-chaser,East Asia,1
48,71.76,23,3,1,10,6,Crybaby,casual,North America,1
18,82.1,17,4,8,8,5,Hirono,casual,Southeast Asia,1
50,111.55,25,6,1,1,0,Crybaby,display-focused,North America,0
27,108.64,25,3,0,10,2,Skullpanda,reseller,Southeast Asia,1
52,149.62,29,3,3,1,7,Dimoo,casual,East Asia,0
27,99.71,24,5,8,6,7,Molly,casual,North America,1
33,86.81,14,2,8,7,5,Skullpanda,display-focused,North America,1
42,159.07,14,4,3,2,7,Dimoo,display-focused,Europe,1
21,78.77,27,4,5,6,7,Labubu,completionist,North America,1
38,35.89,24,4,10,7,0,Labubu,trend-chaser,Southeast Asia,1
36,117.41,14,2,7,10,9,Hirono,casual,North America,0
47,95.01,22,1,8,10,7,Labubu,completionist,Europe,1
55,85.2,22,3,0,4,2,Dimoo,casual,North America,0
42,118.68,13,1,2,7,2,Labubu,casual,North America,0
32,71.99,24,6,1,9,10,Molly,display-focused,North America,1
32,36.45,19,3,10,0,2,Molly,completionist,Southeast Asia,0
32,119.64,15,1,3,7,0,Skullpanda,completionist,East Asia,1
48,65.73,26,4,5,10,0,Hirono,completionist,Southeast Asia,1
28,58.01,29,6,6,1,2,Hirono,reseller,Europe,1
22,37.07,16,5,5,8,6,Labubu,casual,North America,0
29,115.54,19,2,0,0,5,Molly,reseller,North America,1
16,32.11,26,3,10,4,8,Hirono,completionist,Europe,1
20,138.27,22,6,4,9,2,Labubu,casual,North America,0
19,74.73,17,3,10,10,2,Labubu,display-focused,North America,1
46,117.8,22,2,8,8,4,Skullpanda,casual,East Asia,1
44,100.93,27,2,7,7,8,Hirono,casual,North America,1
43,171.68,29,2,7,2,5,Molly,casual,East Asia,1
34,99.83,23,3,10,9,8,Labubu,casual,East Asia,1
44,136.12,14,0,3,7,1,Crybaby,trend-chaser,East Asia,1
22,68.5,28,3,3,10,4,Crybaby,trend-chaser,Europe,1
52,45.46,24,4,7,6,4,Dimoo,completionist,East Asia,1
36,125.28,27,3,2,0,0,Dimoo,reseller,Europe,1
53,44.99,35,4,8,5,3,Crybaby,trend-chaser,North America,1
22,115.02,31,3,0,8,3,Dimoo,display-focused,North America,1
35,55.45,25,4,9,8,5,Hirono,completionist,North America,1
43,95.75,21,4,3,4,1,Skullpanda,completionist,Europe,1
35,173.08,27,8,0,1,2,Labubu,trend-chaser,East Asia,1
33,111.37,24,0,6,9,10,Hirono,reseller,Southeast Asia,1
22,78.9,26,5,3,9,1,Dimoo,casual,North America,0
31,101.87,27,2,3,9,8,Molly,completionist,North America,1
25,69.46,20,1,5,7,5,Dimoo,casual,North America,1
28,201.92,23,1,6,9,0,Hirono,casual,Oceania,1
43,63.84,10,4,1,4,4,Molly,completionist,North America,0
41,82.31,19,2,0,8,5,Hirono,completionist,Europe,0
40,107.34,29,6,5,5,3,Labubu,casual,North America,1
30,98.92,18,2,3,8,2,Dimoo,display-focused,Southeast Asia,0
54,103.41,27,1,6,1,7,Crybaby,completionist,Europe,1
19,70.02,18,3,8,3,0,Hirono,casual,North America,1
29,77.63,13,3,6,2,10,Hirono,trend-chaser,Europe,0
20,122.89,28,6,1,4,3,Dimoo,display-focused,East Asia,1
29,120.39,32,2,10,8,4,Skullpanda,completionist,Europe,1
54,99.86,20,0,7,1,1,Dimoo,casual,Oceania,0
30,143.2,26,2,0,8,9,Molly,trend-chaser,Southeast Asia,1
52,124.91,21,3,8,9,2,Skullpanda,trend-chaser,Europe,1
35,118.9,31,0,9,7,8,Skullpanda,casual,Oceania,1
43,44.69,27,6,6,7,3,Skullpanda,completionist,Southeast Asia,1
34,99.38,15,3,9,1,0,Molly,reseller,Europe,0
26,92.3,25,2,9,6,4,Molly,casual,Southeast Asia,0
46,150.93,24,1,10,2,5,Molly,completionist,Europe,1
54,28.3,25,2,10,2,5,Labubu,trend-chaser,East Asia,0
26,80.49,21,2,2,9,10,Skullpanda,display-focused,East Asia,0
47,89.3,31,3,0,6,5,Labubu,trend-chaser,Southeast Asia,0
26,55.19,19,8,7,10,8,Crybaby,casual,Southeast Asia,1
44,59.2,27,10,7,5,4,Labubu,trend-chaser,North America,1
47,151.14,27,5,6,3,1,Hirono,trend-chaser,East Asia,1
33,103.25,21,3,2,10,5,Molly,casual,East Asia,1
45,173.25,23,6,10,6,6,Hirono,display-focused,Southeast Asia,1
26,79.91,14,2,4,9,4,Dimoo,completionist,Europe,1
19,48.36,23,2,8,0,8,Crybaby,trend-chaser,North America,0
19,75.45,18,4,6,5,10,Hirono,casual,North America,1
33,70.46,20,5,9,8,0,Dimoo,display-focused,North America,1
52,112.96,28,2,7,8,0,Labubu,reseller,North America,1
21,111.11,22,2,6,7,3,Skullpanda,display-focused,North America,1
34,105.32,30,2,9,1,6,Molly,completionist,North America,1
44,196.54,22,3,0,6,0,Hirono,completionist,Southeast Asia,1
24,139.7,20,2,7,1,2,Hirono,trend-chaser,Europe,1
44,60.77,19,1,6,8,4,Molly,casual,Europe,0
28,126.6,28,4,8,6,4,Dimoo,trend-chaser,East Asia,1
48,86.97,29,2,2,2,9,Molly,completionist,North America,1
39,79.04,27,1,6,7,6,Dimoo,trend-chaser,East Asia,1
37,147.03,21,4,3,7,9,Dimoo,casual,Southeast Asia,1
23,59.31,22,2,1,0,8,Skullpanda,completionist,Europe,1
34,123.11,21,1,6,0,4,Hirono,trend-chaser,Europe,0
50,115.17,25,4,0,2,10,Molly,reseller,North America,1
16,58.88,23,2,1,0,9,Hirono,casual,Europe,1
46,44.16,22,3,5,5,5,Dimoo,display-focused,East Asia,1
35,83.17,26,2,9,9,9,Molly,casual,Europe,1
44,27.55,12,2,7,0,2,Skullpanda,casual,Europe,1
42,132.66,22,2,0,6,2,Labubu,completionist,Europe,1
33,99.23,28,2,1,4,8,Skullpanda,trend-chaser,North America,1
